BeatNumber,OnBeat,BeatDiff,Key
729,0,-0.144761,83
729,1,0.013266,65
730,0,-0.166981,87
731,0,0.104885,83
731,0,0.139755,68
738,0,-0.208634,69
739,0,0.152118,69
740,1,0.092794,69
741,1,0.064083,69
742,1,-0.047811,69
742,0,0.105017,69
743,0,-0.17685,69
743,1,-0.004669,69
743,0,0.131155,69
744,0,-0.146829,69
745,1,0.020685,69
746,1,-0.0298,69
748,0,-0.194307,69
748,1,-0.057204,69
749,1,0.077853,69
749,0,0.213376,69
750,1,-0.082708,69
750,0,0.154574,69
751,1,-0.091533,83
751,1,0.010227,65
752,1,-0.068553,68
753,1,-0.097708,83
754,1,0.071451,83
756,1,0.074204,83
757,0,-0.166995,83
757,0,-0.126687,65
757,1,-0.007969,65
758,0,0.15008,65
759,1,-0.094495,65
759,0,0.101568,65
760,0,-0.11615,65
760,1,0.083645,65
761,0,-0.140156,65
761,1,0.053308,65
762,0,-0.207127,87
762,1,-0.036422,87
762,0,0.132982,87
763,0,-0.13224,87
763,1,0.056322,87
767,1,0.053587,32
768,1,-0.099246,32
768,0,0.187104,68
769,0,-0.208152,87
769,0,0.10289,87
770,1,-0.046137,87
770,0,0.200862,68
771,1,0.019894,68
772,0,-0.216114,68
772,1,0.022116,83
773,0,-0.206429,83
773,1,-0.036216,83
773,0,0.149147,83
774,1,-0.074277,83
775,0,-0.155489,83
775,0,0.145075,83
777,1,-0.034256,83
778,0,-0.147636,83
779,0,0.138711,83
780,1,0.016391,87
781,1,0.205759,68
782,1,-0.098416,68
783,0,-0.185497,32
784,0,0.181467,32
785,1,-0.038747,32
785,0,0.179291,32
786,1,-0.056044,32
786,0,0.112947,68
787,0,-0.106766,68
787,0,0.109297,68
788,0,-0.108978,68
788,0,0.108191,68
789,0,-0.152833,68
789,1,0.002448,68
789,0,0.136626,68
790,0,-0.122943,68
790,1,0.035849,68
790,0,0.210688,68
791,1,-0.024686,68
791,0,0.153849,68
792,1,-0.057519,68
795,1,-0.084173,65
797,0,0.106191,68
798,0,0.155054,68
799,1,-0.013146,68
800,0,-0.159965,68
800,0,0.116622,68
803,0,0.127337,68
804,0,0.139504,68
805,0,0.130162,68
806,1,-0.000535,68
806,0,0.183792,68
807,1,-0.045239,68
807,0,0.199495,68
809,1,0.093616,37
810,1,0.072175,40
811,1,0.053663,40
812,1,0.064188,40
813,1,0.038311,40
814,1,0.041921,39
815,1,-0.058323,83
818,1,0.058526,83
819,0,-0.199138,83
819,1,-0.018435,83
819,1,0.002835,68
819,0,0.200484,68
820,1,-0.075035,68
820,1,0.084115,68
821,0,-0.172098,68
821,1,0.018124,68
821,0,0.182816,68
822,1,-0.063975,68
822,0,0.101749,68
823,0,-0.184802,68
823,1,0.03712,68
823,0,0.201752,68
824,1,-0.062044,68
824,1,0.083201,68
825,0,-0.204866,68
825,1,-0.028162,68
