BeatNumber, OnBeat, BeatDiff, Key
145, 0, 0.166165, 87
147, 1, 0.048543, 87
149, 1, -0.123786, 65
152, 1, 0.055571, 83
154, 0, 0.202771, 68
157, 0, 0.215221, 68
161, 1, 0.116666, 83
163, 1, -0.028431, 83
168, 1, 0.051045, 83
171, 1, -0.022974, 83
173, 1, 0.048989, 83
174, 1, 0.070931, 83
175, 1, 0.127893, 83
176, 1, 0.05807, 68
177, 1, 0.070212, 68
178, 1, 0.085009, 68
179, 1, 0.074656, 68
179, 1, 0.021156, 87
180, 1, -0.002426, 87
182, 0, 0.182137, 65
183, 1, 0.124185, 65
184, 1, 0.124067, 65
185, 1, 0.11579, 65
186, 1, 0.077133, 65
187, 1, 0.055376, 65
188, 1, 0.096788, 65
189, 1, 0.081843, 87
190, 1, 0.060063, 87
191, 1, 0.065988, 87
192, 1, 0.031258, 87
193, 1, 0.029425, 68
194, 1, 0.044505, 68
195, 1, 0.095354, 68
196, 1, 0.083935, 68
197, 1, 0.063846, 68
198, 1, 0.07229, 68
199, 1, 0.053717, 68
200, 1, 0.036131, 83
201, 1, 0.068219, 83
202, 1, 0.066741, 83
202, 1, 0.020179, 83
204, 1, 0.067087, 83
204, 1, 0.012724, 68
206, 1, 0.09381, 68
207, 1, 0.107323, 68
208, 1, 0.118154, 68
209, 1, 0.128441, 68
210, 1, 0.105642, 68
211, 1, 0.107756, 68
212, 1, 0.101287, 68
213, 1, 0.116929, 68
214, 1, 0.146815, 68
215, 0, 0.15139, 68
216, 1, 0.137492, 87
217, 1, 0.11965, 87
218, 1, 0.084371, 87
219, 1, 0.051629, 87
219, 1, -0.003266, 68
221, 1, 0.083276, 68
222, 1, 0.087666, 68
223, 1, 0.095082, 68
224, 1, 0.110384, 83
225, 0, 0.20226, 83
226, 1, 0.085928, 83
227, 0, 0.169364, 83
228, 1, 0.137576, 83
230, 1, 0.078739, 83
232, 1, 0.070438, 83
237, 1, 0.071355, 69
243, 1, 0.107555, 65
245, 0, 0.15762, 87
248, 1, 0.103488, 87
249, 1, 0.129205, 87
250, 1, 0.120504, 87
251, 1, 0.121879, 87
252, 1, 0.125534, 68
254, 1, 0.119002, 82
256, 1, 0.048465, 69
258, 0, 0.175883, 69
260, 1, 0.130038, 69
262, 1, 0.110216, 69
264, 1, 0.103535, 69
266, 1, 0.125871, 69
268, 0, 0.172873, 69
269, 0, 0.151918, 69
270, 0, 0.168158, 69
271, 1, 0.144653, 69
274, 1, 0.007823, 32
277, 1, -0.142495, 32
279, 1, -0.124012, 87
281, 1, 0.076852, 87
282, 1, 0.05793, 87
283, 1, 0.101797, 87
284, 1, 0.113863, 87
285, 1, 0.125405, 87
286, 1, 0.110462, 87
287, 1, 0.142226, 87
288, 1, 0.144182, 69
289, 1, 0.105703, 69
290, 1, 0.124759, 69
291, 1, 0.140232, 69
292, 1, 0.074497, 87
293, 1, 0.055416, 87
293, 1, -0.018384, 87
295, 1, 0.079983, 87
296, 1, 0.078423, 68
298, 0, 0.175683, 87
299, 1, 0.005763, 87
301, 1, 0.104457, 87
303, 0, 0.168068, 83
307, 1, 0.011663, 83
311, 1, -0.028033, 83
315, 1, -0.117439, 68
317, 1, 0.047768, 68
318, 1, 0.096299, 68
319, 1, 0.111506, 68
320, 1, 0.043482, 87
321, 1, 0.02551, 68
322, 1, 0.073831, 68
323, 1, 0.072752, 68
324, 1, 0.105009, 68
325, 0, 0.153663, 68
326, 0, 0.168822, 68
327, 1, -0.001279, 87
329, 1, 0.146736, 68
330, 1, 0.145302, 68
331, 1, 0.143888, 68
335, 0, 0.204762, 87
338, 1, 0.050489, 65
340, 1, 0.064167, 87
342, 1, 0.028233, 68
343, 0, 0.160451, 68
345, 1, -0.093823, 65
347, 1, 0.004711, 68
349, 1, 0.034853, 68
350, 1, 0.100187, 83
351, 1, 0.098287, 83
351, 1, -0.136413, 65
353, 1, -0.07301, 65
354, 0, -0.157772, 87
355, 1, -0.109073, 87
356, 1, -0.077446, 65
357, 1, 0.07295, 87
359, 1, 0.020188, 87
360, 1, 0.034639, 68
361, 0, -0.184728, 65
365, 0, 0.160956, 65
366, 1, 0.109605, 83
367, 0, -0.176621, 68
369, 1, 0.10514, 68
369, 1, -0.096298, 68
370, 0, 0.20405, 68
371, 1, 0.10226, 68
371, 1, -0.082611, 68
372, 0, -0.183992, 68
373, 0, 0.182922, 68
374, 0, 0.164854, 68
375, 1, 0.130102, 68
376, 1, 0.145983, 68
377, 1, 0.126947, 68
378, 1, 0.092219, 68
379, 1, 0.057579, 68
380, 1, 0.122671, 68
381, 1, 0.121361, 68
382, 1, 0.103284, 68
383, 1, 0.101878, 68
384, 1, 0.133806, 68
385, 1, 0.132343, 68
386, 1, 0.130671, 87
387, 1, 0.080715, 68
388, 1, 0.112618, 68
389, 1, 0.093312, 68
390, 1, 0.10833, 68
391, 0, 0.157109, 68
392, 0, 0.155591, 68
393, 0, 0.170995, 68
394, 1, 0.136131, 68
395, 1, 0.134525, 68
396, 1, 0.133067, 68
