BeatNumber, OnBeat, BeatDiff, Key
94, 1, 0.055261, 32
96, 0, -0.211179, 87
97, 0, -0.202717, 65
99, 1, -0.142123, 68
101, 0, 0.17927, 68
103, 1, 0.076442, 68
103, 0, 0.193124, 87
103, 1, -0.041615, 87
105, 0, 0.206793, 68
106, 1, -0.12457, 68
108, 0, 0.202477, 83
109, 1, -0.033868, 87
111, 1, 0.064594, 65
112, 0, 0.213038, 83
117, 0, 0.208766, 69
122, 1, 0.043522, 69
124, 1, 0.04558, 69
125, 1, -0.057245, 69
127, 1, 0.112795, 69
127, 1, -0.060089, 69
128, 0, -0.161706, 69
129, 1, 0.126889, 69
129, 1, 0.007302, 65
130, 1, -0.021096, 65
131, 1, -0.099326, 65
132, 1, -0.084103, 65
133, 1, -0.068981, 83
134, 1, -0.103568, 83
135, 1, -0.07166, 83
136, 1, -0.072898, 83
137, 1, -0.090947, 65
138, 1, -0.059024, 68
138, 1, 0.007721, 83
139, 1, -0.043781, 83
140, 1, -0.086102, 68
141, 1, -0.113174, 68
142, 1, -0.08145, 68
143, 1, -0.075609, 68
144, 1, -0.066299, 68
145, 1, -0.072911, 68
146, 1, -0.11324, 83
149, 1, 0.043721, 83
150, 1, 0.141408, 83
151, 1, 0.06711, 68
151, 1, 0.005422, 68
152, 1, -0.041991, 68
153, 1, -0.055131, 68
154, 1, -0.081586, 68
155, 1, -0.146201, 68
156, 1, -0.060369, 68
157, 1, -0.061521, 68
158, 1, -0.0285, 68
159, 1, -0.096481, 68
160, 0, -0.151305, 68
161, 0, -0.17761, 68
162, 0, -0.176111, 68
163, 1, -0.038854, 68
164, 1, 0.01982, 68
165, 1, -0.058513, 68
166, 1, -0.075241, 68
167, 1, -0.087837, 87
168, 1, -0.096888, 87
169, 1, -0.137904, 87
170, 1, -0.131325, 87
171, 0, -0.161784, 68
172, 1, -0.115184, 68
173, 1, -0.074116, 68
174, 1, -0.025362, 68
175, 1, -0.08523, 68
176, 1, -0.085495, 68
187, 1, 0.124548, 65
188, 1, 0.126298, 87
188, 1, -0.041541, 87
188, 1, -0.016268, 65
189, 1, -0.037454, 65
190, 1, -0.00407, 65
191, 1, -0.051751, 87
192, 1, -0.081655, 87
193, 1, -0.105989, 87
194, 1, -0.083897, 87
195, 1, -0.109118, 65
195, 1, -0.092411, 87
196, 1, -0.144177, 65
197, 1, 0.142238, 65
198, 1, 0.037977, 65
198, 1, 0.017649, 65
199, 1, 0.107628, 87
199, 1, -0.048264, 87
200, 1, -0.125572, 87
201, 1, -0.11527, 87
202, 1, -0.131707, 69
203, 1, -0.020446, 69
204, 1, -0.021859, 65
205, 1, -0.090122, 65
205, 1, 0.010095, 87
206, 1, -0.141713, 87
207, 1, -0.143196, 68
208, 0, -0.177916, 68
209, 0, -0.179415, 68
210, 0, 0.187214, 68
210, 1, -0.030659, 69
211, 1, -0.065411, 69
212, 1, -0.083642, 65
213, 0, -0.151873, 65
214, 0, 0.181553, 65
215, 1, 0.096531, 65
215, 1, -0.021218, 65
216, 0, -0.156053, 87
217, 0, -0.174403, 87
218, 0, -0.159157, 87
219, 1, -0.094336, 87
220, 1, -0.062944, 87
221, 1, -0.148215, 87
222, 1, -0.149656, 87
223, 0, -0.16784, 87
224, 0, -0.186033, 87
225, 0, -0.153652, 87
228, 1, -0.107317, 83
229, 1, -0.125805, 83
230, 1, -0.094338, 68
231, 1, -0.129291, 68
232, 1, -0.064213, 68
233, 1, -0.132444, 68
234, 1, -0.083859, 68
235, 0, -0.168314, 87
236, 0, -0.202881, 87
237, 0, 0.197536, 87
238, 1, 0.062739, 87
238, 1, -0.005049, 87
239, 1, -0.12335, 87
240, 0, -0.175316, 68
240, 1, -0.05844, 32
241, 1, 0.141204, 32
241, 0, -0.176954, 68
241, 1, -0.125307, 32
242, 1, 0.056138, 32
242, 1, 0.072797, 68
242, 0, -0.162076, 32
242, 1, -0.093989, 68
243, 1, 0.055472, 32
244, 1, 0.037421, 68
244, 1, -0.064526, 68
245, 0, -0.166212, 68
246, 1, 0.133832, 83
246, 1, -0.001095, 83
247, 1, -0.119608, 68
250, 0, 0.160876, 68
250, 1, 0.009896, 68
251, 1, -0.041993, 68
252, 1, -0.093479, 68
253, 1, -0.128168, 68
254, 0, -0.196362, 68
255, 0, 0.153544, 68
256, 1, 0.05226, 32
256, 0, -0.215972, 32
256, 1, -0.082662, 32
257, 1, 0.067419, 32
257, 0, 0.217326, 32
257, 1, -0.050821, 32
257, 1, -0.0007, 87
258, 0, -0.152189, 87
259, 0, 0.197847, 68
259, 0, -0.153627, 32
260, 1, 0.0634, 32
260, 0, 0.213768, 68
260, 0, -0.171654, 32
261, 1, 0.028362, 68
261, 1, 0.028362, 32
261, 1, -0.056423, 68
262, 0, -0.174379, 68
263, 1, -0.124112, 68
264, 1, -0.126679, 68
266, 1, 0.038374, 83
266, 1, -0.063092, 83
268, 1, 0.084845, 83
268, 0, -0.199783, 65
268, 1, -0.099674, 65
269, 1, -0.134285, 65
269, 1, -0.050921, 87
270, 1, 0.11575, 87
271, 1, 0.047602, 87
271, 1, -0.13688, 68
272, 1, -0.088298, 83
273, 1, -0.106334, 65
274, 1, -0.091119, 87
275, 1, -0.092889, 68
276, 1, -0.110788, 83
277, 1, -0.028802, 83
278, 0, -0.21358, 65
281, 0, 0.217332, 65
282, 0, 0.198762, 65
283, 1, 0.06516, 65
283, 1, -0.004035, 65
284, 1, -0.038978, 87
285, 1, -0.0572, 87
286, 1, -0.125365, 87
287, 0, -0.160144, 68
288, 0, -0.194947, 68
289, 1, 0.104872, 68
289, 1, -0.01304, 68
290, 1, -0.064364, 68
291, 1, -0.115799, 68
292, 1, -0.067523, 68
293, 1, -0.119109, 68
294, 1, -0.13761, 68
295, 1, -0.122481, 68
296, 1, -0.123969, 68
297, 1, -0.125123, 68
298, 0, -0.160107, 68
299, 0, -0.161532, 68
300, 0, -0.196217, 68
301, 1, 0.037086, 68
301, 1, -0.097642, 68
302, 1, -0.132495, 68
303, 1, -0.133967, 68
304, 1, -0.101673, 68
305, 1, -0.086602, 68
306, 1, -0.088204, 68
307, 1, -0.106428, 68
308, 1, -0.074455, 68
309, 1, -0.109267, 68
310, 1, -0.094044, 68
311, 0, 0.20588, 65
312, 1, 0.038025, 65
312, 1, -0.096969, 65
313, 1, -0.148453, 83
314, 0, -0.183023, 83
315, 1, 0.033793, 68
316, 1, 0.049048, 65
319, 0, -0.206976, 68
319, 1, -0.090216, 87
320, 0, 0.209715, 87
321, 1, 0.058202, 68
321, 1, -0.043363, 68
322, 1, 0.005014, 68
323, 1, -0.144949, 83
324, 0, -0.212638, 83
325, 0, 0.154242, 83
326, 1, 0.019996, 65
326, 1, -0.065505, 65
327, 1, -0.13394, 65
328, 1, -0.135018, 83
330, 0, 0.196578, 68
331, 1, 0.144351, 68
332, 1, 0.028887, 87
332, 0, 0.161441, 65
334, 0, -0.212242, 68
335, 1, 0.123536, 83
335, 1, 0.002914, 83
336, 1, -0.13168, 68
337, 0, -0.16648, 68
338, 0, 0.150138, 68
338, 1, 0.000806, 68
339, 1, -0.052867, 68
340, 1, -0.120789, 68
341, 0, -0.199471, 68
342, 0, 0.194664, 68
343, 1, 0.118277, 68
343, 1, 0.008156, 68
344, 1, -0.076583, 68
345, 1, -0.090916, 68
346, 1, -0.079501, 68
347, 1, -0.147631, 68
348, 1, -0.065417, 68
349, 1, 2.6e-05, 68
349, 1, 2.6e-05, 87
350, 1, -0.101361, 68
351, 1, -0.102768, 68
352, 1, -0.10423, 83
353, 1, -0.071999, 65
354, 0, 0.17792, 65
354, 1, -0.023502, 65
355, 1, 0.008706, 65
356, 1, -0.126592, 87
357, 1, -0.077939, 68
364, 0, 0.162146, 65
365, 1, 0.060831, 65
365, 1, -0.0572, 65
366, 1, -0.108872, 83
367, 1, -0.110167, 68
368, 0, -0.161655, 87
369, 1, -0.146362, 68
370, 1, 0.136818, 87
371, 1, -0.06604, 87
373, 1, 0.132573, 83
374, 0, 0.198298, 68
375, 1, 0.113768, 68
376, 1, 0.045487, 68
376, 1, 0.01087, 68
377, 1, -0.007793, 83
378, 1, -0.10933, 65
379, 1, -0.060918, 65
380, 0, -0.179114, 65
381, 0, -0.196784, 87
382, 1, 0.085957, 65
382, 1, -0.015326, 65
383, 1, -0.116752, 87
384, 1, -0.118266, 68
385, 0, -0.153185, 68
386, 1, -0.054544, 68
387, 1, -0.056134, 68
388, 1, -0.074024, 68
389, 1, -0.058872, 83
390, 1, -0.009929, 65
391, 1, -0.07861, 65
392, 0, -0.213272, 65
393, 0, 0.153678, 87
393, 1, -0.097999, 65
394, 0, 0.168831, 65
394, 1, 0.000666, 87
395, 1, -0.001124, 68
396, 1, -0.052444, 68
397, 1, -0.070557, 68
