BeatNumber, OnBeat, BeatDiff, Key
93, 1, 0.065305, 40
94, 1, 0.030479, 37
94, 1, -0.037682, 37
95, 1, -0.071412, 37
96, 1, -0.089825, 40
97, 1, -0.068374, 40
98, 1, -0.059246, 40
99, 1, -0.07724, 37
100, 1, -0.062137, 40
101, 1, -0.129699, 39
102, 1, -0.129015, 38
103, 0, -0.188364, 37
104, 1, -0.083696, 37
105, 1, -0.103133, 37
106, 1, -0.037109, 39
107, 1, -0.021754, 39
109, 1, 0.042922, 37
109, 1, 0.01102, 40
110, 1, -0.043434, 38
111, 1, -0.050747, 40
112, 1, -0.028008, 38
113, 1, -0.064268, 40
114, 1, -0.014359, 37
115, 1, -0.05089, 40
116, 1, -0.094538, 39
117, 1, -0.117108, 68
118, 1, -0.050351, 68
119, 1, -0.033962, 68
120, 1, -0.011141, 68
122, 1, 0.036181, 68
123, 1, 0.06658, 68
141, 1, 0.12678, 39
141, 1, 0.002831, 39
142, 1, -0.004806, 39
144, 1, 0.015592, 40
145, 1, 0.047329, 39
145, 1, -0.023108, 39
158, 0, 0.190479, 40
159, 1, 0.146533, 40
160, 1, 0.059272, 39
161, 1, 0.116235, 39
162, 1, 0.125551, 39
163, 0, -0.185607, 38
165, 1, 0.00059, 38
167, 1, 0.044433, 38
168, 1, 0.039767, 39
169, 1, 0.066122, 39
170, 1, 0.048944, 38
170, 1, 0.011352, 39
171, 1, -0.001478, 39
172, 1, -0.019302, 39
173, 1, -0.044965, 39
174, 1, -0.053883, 37
176, 1, 0.027611, 39
176, 1, -0.032514, 39
177, 1, -0.024062, 39
178, 1, -0.013042, 39
179, 1, -0.038236, 39
180, 1, -0.007237, 39
190, 1, -0.025881, 27
