BeatNumber,OnBeat,BeatDiff,Key
47,1,-0.125292,32
51,1,-0.045,32
52,1,-0.016048,32
53,1,-0.050575,32
54,1,-0.047486,32
55,1,-0.053336,32
56,1,-0.071676,32
57,1,-0.073229,32
58,1,0.008512,32
60,1,0.073728,32
61,1,0.026704,32
62,1,0.054246,32
63,1,0.069464,32
64,1,0.134615,32
65,1,0.117762,32
66,1,0.118723,32
67,1,0.096869,32
68,1,0.14542,32
69,0,0.178502,32
70,0,0.181743,32
71,0,-0.175316,32
75,1,0.118748,32
76,1,0.133787,32
77,1,0.149098,32
78,1,0.056165,68
78,1,0.130924,32
79,1,0.023582,68
80,1,0.037225,83
81,1,0.016036,83
82,1,-0.041114,68
83,1,-0.07606,87
84,1,-0.094436,83
85,1,-0.143276,68
86,1,-0.075944,68
87,1,-0.086482,68
89,1,0.137101,68
90,0,0.202493,68
91,0,-0.177915,68
92,1,-0.115624,68
94,0,0.185793,68
95,0,0.206538,68
96,0,0.181187,68
97,1,0.111047,68
99,0,-0.174239,83
100,0,0.216591,83
101,0,-0.166134,68
102,0,-0.210021,83
102,0,0.164291,83
103,1,0.144966,83
104,0,0.162435,83
105,0,0.199783,83
106,1,0.104052,83
107,1,0.081637,83
108,1,0.146831,83
109,0,0.185879,83
110,0,0.191554,83
111,0,0.214821,83
112,0,-0.156588,83
113,1,-0.083373,83
120,1,-0.066921,83
121,1,-0.108355,83
122,1,-0.098796,83
123,0,0.202461,68
124,0,-0.175444,68
125,1,-0.138466,68
126,1,-0.00743,68
127,1,-0.059472,68
128,1,0.001829,68
130,1,0.022303,68
131,1,-0.039523,68
131,1,-0.018163,68
132,1,0.025586,68
133,1,-0.014368,68
134,1,-0.026122,68
135,1,-0.016724,68
137,1,0.094323,68
138,1,0.139265,68
139,1,0.149605,68
140,0,0.175366,87
141,0,-0.192225,87
142,1,-0.124234,27
