BeatNumber,OnBeat,BeatDiff,Key
27,1,0.014335,40
29,1,0.043637,40
47,1,-0.000576,38
48,1,-0.002238,40
49,1,-0.051027,40
50,1,-0.104875,40
51,1,-0.040674,40
52,1,-0.069268,40
53,1,-0.133121,37
54,1,-0.020854,38
55,1,-0.061906,39
56,1,-0.00515,39
57,1,-0.021261,37
58,1,-0.032947,37
59,1,0.015782,39
60,1,0.009778,37
61,1,-0.005936,39
62,1,-0.038827,39
63,1,-0.033087,39
64,1,-0.035335,37
65,1,-0.076376,37
66,1,-0.011179,37
67,1,-0.000472,39
69,1,0.028904,39
70,1,0.010163,39
71,1,-0.042431,37
71,1,-0.033475,37
72,1,-0.046861,37
73,1,-0.084387,39
74,1,-0.086653,37
75,1,-0.043386,37
77,0,0.157341,37
78,1,0.084507,39
79,1,0.038337,39
80,1,-0.008572,39
81,1,-0.099909,39
82,1,-0.100875,39
82,1,-0.019173,39
83,1,-0.027284,39
85,1,0.025354,39
86,1,0.044544,39
87,1,0.038505,39
88,1,0.006329,39
88,1,0.016225,39
89,1,-0.03935,39
90,1,-0.04929,39
91,1,-0.039829,39
92,1,-0.038279,39
93,1,-0.070725,39
94,1,-0.061216,39
95,1,-0.059596,39
96,1,-0.054005,39
97,1,-0.031264,39
98,1,-0.017066,39
99,1,-0.017699,39
100,1,-0.023372,39
101,1,-0.031076,38
102,1,-0.00857,38
104,1,0.02928,68
105,1,0.047352,68
106,1,0.053752,68
107,1,0.100798,65
107,1,0.100798,83
108,1,0.08708,65
109,1,0.006939,65
110,1,-0.057326,65
110,1,-0.038438,87
111,1,-0.015944,69
113,1,0.043482,69
114,1,0.032243,69
115,1,0.061956,69
116,1,0.051691,69
117,1,0.058989,69
118,1,0.037894,69
119,1,0.000303,69
120,1,0.035363,69
121,1,-0.057911,87
122,1,0.031215,87
123,1,-0.008355,65
124,1,0.035325,65
125,1,0.024936,65
126,1,0.026417,87
127,1,0.076978,87
128,1,0.01599,87
128,1,0.017419,87
129,1,-0.020485,87
130,1,0.009825,87
