BeatNumber, OnBeat, BeatDiff, Key
95, 0, -0.155694, 68
96, 0, 0.177888, 68
97, 1, 0.042957, 68
97, 1, -0.025201, 68
98, 1, -0.043184, 83
99, 1, -0.01123, 83
100, 1, -0.010149, 83
101, 1, -0.020447, 83
102, 1, -0.007125, 68
103, 1, -0.019755, 68
104, 1, -0.022884, 68
105, 1, 0.002942, 68
106, 1, 0.01258, 68
107, 1, 0.004357, 68
108, 1, 0.005769, 68
110, 1, 0.024939, 68
110, 1, -0.00827, 68
111, 1, 0.000434, 68
112, 1, -0.020124, 68
113, 1, -0.009341, 68
114, 1, 0.006594, 68
115, 1, -0.015451, 87
116, 1, -0.051877, 65
118, 1, 0.088192, 87
118, 1, -0.016662, 69
119, 1, 0.004436, 68
121, 1, 0.045911, 68
121, 1, -0.000381, 87
122, 1, -0.010797, 87
123, 1, -0.006523, 87
124, 1, -0.018148, 87
125, 1, 0.002489, 87
126, 1, -0.017957, 87
127, 1, -0.035971, 87
128, 1, 0.006198, 87
129, 1, -0.013068, 87
130, 1, -0.057491, 87
131, 1, -0.042365, 87
132, 1, -0.026335, 87
133, 1, -0.012153, 87
134, 1, -0.047144, 87
135, 1, -0.04824, 87
136, 1, -0.033248, 68
137, 1, -0.133604, 69
138, 0, -0.18625, 69
139, 0, -0.187619, 69
140, 1, 0.145657, 69
141, 1, 0.009471, 32
142, 1, -0.041939, 32
143, 1, -0.026883, 32
144, 1, -0.04507, 68
145, 1, -0.013092, 68
146, 1, -0.014578, 68
147, 1, -0.016061, 68
148, 1, -0.017429, 68
149, 1, -0.00222, 68
150, 1, -0.020383, 68
151, 1, -0.021796, 68
152, 1, -0.023348, 68
153, 1, -0.007998, 68
154, 1, -0.026197, 68
155, 1, -0.044161, 83
156, 1, -0.062241, 32
157, 1, -0.147162, 32
158, 0, -0.198511, 83
159, 1, 0.101814, 83
160, 1, 0.05033, 83
161, 1, 0.032711, 87
161, 1, -0.01922, 87
162, 1, -0.054229, 68
163, 1, -0.038773, 68
164, 1, -0.056652, 68
165, 1, -0.074963, 68
166, 1, -0.076513, 68
167, 1, -0.061655, 68
168, 1, -0.046462, 68
169, 1, -0.064668, 68
170, 1, -0.032584, 68
171, 1, -0.017322, 68
172, 1, -0.035466, 68
173, 1, -0.036882, 68
174, 1, -0.038443, 68
175, 1, -0.039823, 68
176, 1, -0.024628, 68
177, 1, -0.009385, 68
178, 1, -0.010802, 68
180, 1, 0.022022, 68
181, 1, 0.020669, 68
181, 1, -0.015092, 68
182, 1, 0.00021, 87
183, 1, -0.084707, 87
184, 1, -0.069502, 87
185, 1, -0.070892, 68
186, 1, -0.038998, 68
187, 1, -0.073612, 68
189, 1, 0.078016, 65
190, 1, -0.076981, 83
191, 1, -0.109896, 83
192, 1, -0.046599, 65
193, 1, -0.031193, 65
194, 1, -0.082958, 83
204, 1, 0.070213, 68
204, 1, 0.00156, 68
207, 0, 0.198601, 68
208, 1, 0.097029, 68
210, 1, 0.094078, 83
211, 1, 0.060428, 68
211, 1, -0.008817, 68
212, 1, -0.043501, 68
213, 1, -0.011603, 68
214, 1, -0.029728, 68
215, 1, 0.002149, 69
216, 1, -0.01602, 69
217, 1, -0.067439, 69
218, 1, -0.085581, 69
219, 1, -0.070371, 69
220, 1, -0.071864, 69
221, 1, -0.073278, 69
222, 1, -0.107571, 69
223, 1, -0.076128, 69
224, 1, -0.093237, 69
225, 1, -0.079102, 69
226, 1, -0.080467, 69
227, 1, -0.03204, 69
228, 1, -0.050018, 69
229, 1, -0.067895, 69
230, 1, -0.052419, 69
231, 1, -0.070162, 69
232, 1, -0.055076, 69
233, 1, -0.056633, 69
234, 1, -0.023461, 69
235, 1, -0.056462, 69
236, 1, -0.059776, 69
237, 1, -0.077237, 69
238, 1, -0.063312, 69
239, 1, -0.080366, 69
240, 1, -0.083407, 69
241, 1, -0.083446, 69
243, 1, 0.113466, 68
244, 1, 0.111438, 87
245, 1, 0.026616, 87
245, 1, -0.008436, 87
246, 1, -0.05988, 87
247, 1, -0.061008, 87
248, 1, -0.061666, 68
249, 1, -0.080257, 83
250, 1, -0.082128, 83
